"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 31, 2020","132.80","132.04","134.91","130.43","911.56K","0.60%"
"Mar 30, 2020","132.01","124.47","135.00","124.13","1.20M","6.10%"
"Mar 29, 2020","124.43","130.95","131.73","124.00","821.78K","-4.94%"
"Mar 28, 2020","130.89","131.32","132.80","125.05","1.54M","-0.31%"
"Mar 27, 2020","131.30","138.43","140.99","130.20","1.36M","-5.09%"
"Mar 26, 2020","138.35","136.15","139.44","133.50","1.40M","1.71%"
"Mar 25, 2020","136.01","137.89","141.85","132.84","1.19M","-1.36%"
"Mar 24, 2020","137.89","135.93","143.23","132.58","1.60M","1.37%"
"Mar 23, 2020","136.03","122.32","137.08","120.08","1.55M","11.06%"
"Mar 22, 2020","122.48","132.52","136.95","121.21","1.60M","-7.73%"
"Mar 21, 2020","132.74","133.40","137.36","125.95","1.60M","-0.46%"
"Mar 20, 2020","133.35","136.32","151.93","117.77","2.32M","-2.24%"
"Mar 19, 2020","136.41","118.24","142.75","115.51","2.19M","15.51%"
"Mar 18, 2020","118.10","115.74","118.30","110.06","1.61M","1.88%"
"Mar 17, 2020","115.92","110.95","120.64","109.43","1.61M","4.49%"
"Mar 16, 2020","110.94","123.72","124.35","101.30","1.57M","-10.35%"
"Mar 15, 2020","123.75","122.51","132.87","120.52","1.24M","0.95%"
"Mar 14, 2020","122.58","134.07","134.57","121.29","1.84M","-8.63%"
"Mar 13, 2020","134.17","107.72","139.23","91.52","1.75M","24.71%"
"Mar 12, 2020","107.58","194.62","195.45","101.61","1.92M","-44.70%"
"Mar 11, 2020","194.55","200.71","203.13","181.97","1.36M","-2.99%"
"Mar 10, 2020","200.54","202.78","205.99","195.85","1.47M","-1.15%"
"Mar 09, 2020","202.87","199.45","208.39","190.25","1.69M","1.77%"
"Mar 08, 2020","199.34","237.23","237.23","196.94","1.58M","-15.96%"
"Mar 07, 2020","237.21","244.88","251.63","236.26","1.14M","-3.13%"
"Mar 06, 2020","244.87","228.46","245.00","227.47","1.11M","7.19%"
"Mar 05, 2020","228.45","224.29","234.00","224.29","1.12M","1.83%"
